_id,count,dailyLiving
20160914,1,0
20160917,1,0
20160928,1,0
20161019,36,0
20161024,2,2
20161025,1,0
20161026,1,1
20161027,0,1
20161029,1,2
20161031,2,1
20161101,1,1
20161102,2,1
20161103,0,2
20161104,3,4
20161105,2,3
20161107,1,2
20161108,1,3
20161109,1,1
20161111,3,0
20161112,3,6
20161113,0,3
20161114,1,3
20161115,4,6
20161116,0,1
20161117,3,3
20161118,0,6
20161120,2,4
20161121,2,6
20161122,1,11
20161123,2,5
20161124,4,5
20161125,2,8
20161126,3,8
20161127,0,4
20161128,0,12
20161129,2,9
20161130,1,7
20161201,0,4
20161202,1,8
20161203,1,8
20161204,2,4
20161205,0,9
20161206,0,5
20161207,0,8
20161208,1,8
20161209,2,9
20161210,1,10
20161211,1,11
20161212,4,5
20161213,1,5
20161214,2,6
20161215,2,7
20161216,1,7
20161217,1,5
20161218,2,6
20161219,1,6
20161220,2,14
20161221,1,9
20161222,1,10
20161223,2,7
20161224,2,9
20161225,3,6
20161226,3,12
20161227,0,13
